+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; LCD_u|FFT_LCD_FIFO_inst|dcfifo_component|auto_generated|rs_dgwp_gray2bin        ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; LCD_u|FFT_LCD_FIFO_inst|dcfifo_component|auto_generated|rdptr_g_gray2bin        ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; LCD_u|FFT_LCD_FIFO_inst|dcfifo_component|auto_generated                         ; 21    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; LCD_u|FFT_LCD_FIFO_inst                                                         ; 21    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; LCD_u|u_fifo_ctrl                                                               ; 24    ; 0              ; 1            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; LCD_u                                                                           ; 22    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[0]|auto_generated  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[1]|auto_generated  ; 8     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[2]|auto_generated  ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[3]|auto_generated  ; 12    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[4]|auto_generated  ; 14    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[5]|auto_generated  ; 16    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[6]|auto_generated  ; 18    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[7]|auto_generated  ; 20    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[8]|auto_generated  ; 22    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[9]|auto_generated  ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[10]|auto_generated ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[11]|auto_generated ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[12]|auto_generated ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[13]|auto_generated ; 32    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[14]|auto_generated ; 34    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst|ALTSQRT_component|subtractors[15]|auto_generated ; 36    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus|sqrt_inst                                                  ; 33    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_data_modulus                                                            ; 37    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|FFT_u|asj_fft_sglstream_fft_131_inst                                      ; 41    ; 0              ; 0            ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|FFT_u                                                                     ; 41    ; 20             ; 0            ; 20             ; 36     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|u_fft_ctrl                                                                ; 4     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|wrfull_eq_comp                  ; 14    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|rdempty_eq_comp                 ; 14    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|ws_dgrp|dffpipe15               ; 9     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|ws_dgrp                         ; 9     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|rs_dgwp|dffpipe12               ; 9     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|rs_dgwp                         ; 9     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|fifo_ram                        ; 34    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|wrptr_g1p                       ; 3     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated|rdptr_g1p                       ; 3     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst|dcfifo_component|auto_generated                                 ; 21    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u|fifo_inst                                                                 ; 21    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FFT_u                                                                           ; 20    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uctrl                                ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Umtl                                 ; 42    ; 0              ; 1            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_cen_l_1_n_0_n                   ; 82    ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_cen_l_0_n_1_n                   ; 80    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_cen_l_0_n_0_n                   ; 80    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_4_n_0_n                 ; 78    ; 0              ; 0            ; 0              ; 39     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_3_n_1_n                 ; 76    ; 37             ; 0            ; 37             ; 38     ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_3_n_0_n                 ; 76    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_2_n_2_n                 ; 74    ; 36             ; 0            ; 36             ; 37     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_2_n_1_n                 ; 74    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_2_n_0_n                 ; 74    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_1_n_4_n                 ; 72    ; 35             ; 0            ; 35             ; 36     ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_1_n_3_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_1_n_2_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_1_n_1_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_1_n_0_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_8_n                 ; 70    ; 50             ; 0            ; 50             ; 35     ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_7_n                 ; 70    ; 29             ; 0            ; 29             ; 35     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_6_n                 ; 70    ; 25             ; 0            ; 25             ; 35     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_5_n                 ; 70    ; 21             ; 0            ; 21             ; 35     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_4_n                 ; 70    ; 17             ; 0            ; 17             ; 35     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_3_n                 ; 70    ; 13             ; 0            ; 13             ; 35     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_2_n                 ; 70    ; 9              ; 0            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_1_n                 ; 70    ; 5              ; 0            ; 5              ; 35     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_3_lut_l_0_n_0_n                 ; 70    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_4_n_0_n                 ; 78    ; 0              ; 0            ; 0              ; 39     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_3_n_1_n                 ; 76    ; 37             ; 0            ; 37             ; 38     ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_3_n_0_n                 ; 76    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_2_n_2_n                 ; 74    ; 36             ; 0            ; 36             ; 37     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_2_n_1_n                 ; 74    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_2_n_0_n                 ; 74    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_1_n_4_n                 ; 72    ; 35             ; 0            ; 35             ; 36     ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_1_n_3_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_1_n_2_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_1_n_1_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_1_n_0_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_8_n                 ; 70    ; 50             ; 0            ; 50             ; 35     ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_7_n                 ; 70    ; 29             ; 0            ; 29             ; 35     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_6_n                 ; 70    ; 25             ; 0            ; 25             ; 35     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_5_n                 ; 70    ; 21             ; 0            ; 21             ; 35     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_4_n                 ; 70    ; 17             ; 0            ; 17             ; 35     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_3_n                 ; 70    ; 13             ; 0            ; 13             ; 35     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_2_n                 ; 70    ; 9              ; 0            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_1_n                 ; 70    ; 5              ; 0            ; 5              ; 35     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_2_lut_l_0_n_0_n                 ; 70    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_4_n_0_n                 ; 78    ; 0              ; 0            ; 0              ; 39     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_3_n_1_n                 ; 76    ; 37             ; 0            ; 37             ; 38     ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_3_n_0_n                 ; 76    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_2_n_2_n                 ; 74    ; 36             ; 0            ; 36             ; 37     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_2_n_1_n                 ; 74    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_2_n_0_n                 ; 74    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_1_n_4_n                 ; 72    ; 35             ; 0            ; 35             ; 36     ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_1_n_3_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_1_n_2_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_1_n_1_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_1_n_0_n                 ; 72    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_8_n                 ; 70    ; 50             ; 0            ; 50             ; 35     ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_7_n                 ; 70    ; 29             ; 0            ; 29             ; 35     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_6_n                 ; 70    ; 25             ; 0            ; 25             ; 35     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_5_n                 ; 70    ; 21             ; 0            ; 21             ; 35     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_4_n                 ; 70    ; 17             ; 0            ; 17             ; 35     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_3_n                 ; 70    ; 13             ; 0            ; 13             ; 35     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_2_n                 ; 70    ; 9              ; 0            ; 9              ; 35     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_fir_lowpass|fir_lowpass_ast_inst|fircore|Uadd_1_lut_l_0_n_1_n                 ; 70    ; 5              ; 0            ; 5              ; 35     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
